Agent,Scores,Milis
BreadthSearchAgent,1913,224.32541847229004
BreadthSearchAgent,1849,202.57282257080078
BreadthSearchAgent,1947,201.9028663635254
BreadthSearchAgent,1899,200.35862922668457
BreadthSearchAgent,1856,227.50139236450195
BreadthSearchAgent,1873,221.76027297973633
BreadthSearchAgent,1884,197.19815254211426
BreadthSearchAgent,1892,224.21002388000488
BreadthSearchAgent,1907,249.69935417175293
BreadthSearchAgent,1927,192.74163246154785
BreadthSearchAgent,1865,200.66571235656738
BreadthSearchAgent,1954,208.21166038513184
BreadthSearchAgent,1877,222.27001190185547
BreadthSearchAgent,1910,171.19193077087402
BreadthSearchAgent,1912,149.8870849609375
BreadthSearchAgent,1897,124.1152286529541
BreadthSearchAgent,1934,133.76188278198242
BreadthSearchAgent,1940,128.2484531402588
BreadthSearchAgent,1874,143.21565628051758
BreadthSearchAgent,1891,135.2372169494629
BreadthSearchAgent,1916,171.19073867797852
BreadthSearchAgent,1927,157.7126979827881
BreadthSearchAgent,1888,156.8925380706787
BreadthSearchAgent,1867,141.21747016906738
BreadthSearchAgent,1895,142.7760124206543
BreadthSearchAgent,1891,173.35271835327148
BreadthSearchAgent,1871,176.9278049468994
BreadthSearchAgent,1839,153.43999862670898
BreadthSearchAgent,1864,140.64359664916992
BreadthSearchAgent,1912,192.0943260192871
BreadthSearchAgent,1881,134.16004180908203
BreadthSearchAgent,1871,150.94804763793945
BreadthSearchAgent,1877,136.26766204833984
BreadthSearchAgent,1892,126.7542839050293
BreadthSearchAgent,1967,130.65814971923828
BreadthSearchAgent,1866,131.7601203918457
BreadthSearchAgent,1906,127.26068496704102
BreadthSearchAgent,1820,145.7815170288086
BreadthSearchAgent,1918,158.48231315612793
BreadthSearchAgent,1915,149.08814430236816
BreadthSearchAgent,1866,135.44058799743652
BreadthSearchAgent,1870,151.49712562561035
BreadthSearchAgent,1953,144.67525482177734
BreadthSearchAgent,1884,125.24127960205078
BreadthSearchAgent,1867,157.67550468444824
BreadthSearchAgent,1947,143.51987838745117
BreadthSearchAgent,1896,130.83767890930176
BreadthSearchAgent,1886,129.4543743133545
BreadthSearchAgent,2010,142.84682273864746
BreadthSearchAgent,1860,144.43016052246094
BreadthSearchAgent,1890,140.61760902404785
BreadthSearchAgent,1871,125.95391273498535
BreadthSearchAgent,1921,182.77502059936523
BreadthSearchAgent,1856,155.50565719604492
BreadthSearchAgent,1830,124.74727630615234
BreadthSearchAgent,1894,133.35180282592773
BreadthSearchAgent,1938,152.97603607177734
BreadthSearchAgent,1935,135.786771774292
BreadthSearchAgent,1898,140.1505470275879
BreadthSearchAgent,1851,128.54957580566406
BreadthSearchAgent,1853,131.01649284362793
BreadthSearchAgent,1901,130.61046600341797
BreadthSearchAgent,1960,145.13278007507324
BreadthSearchAgent,1913,144.0587043762207
BreadthSearchAgent,1922,137.87317276000977
BreadthSearchAgent,1841,142.6842212677002
BreadthSearchAgent,1854,165.89975357055664
