Agent,Scores,Cost,Milis
GreedyAgent,-242,87.05806732177734,792
GreedyAgent,29,52.3371696472168,521
GreedyAgent,48,60.15515327453613,502
GreedyAgent,-727,112.96272277832031,1277
GreedyAgent,449,21.3010311126709,101
GreedyAgent,-420,86.36188507080078,970
GreedyAgent,-33,54.053544998168945,583
GreedyAgent,-68,68.14908981323242,618
GreedyAgent,115,43.8385009765625,435
GreedyAgent,293,44.46673393249512,257
GreedyAgent,-478,109.94172096252441,1028
GreedyAgent,-624,105.82232475280762,1174
GreedyAgent,-49,62.47210502624512,599
GreedyAgent,342,32.67836570739746,208
GreedyAgent,-160,71.3040828704834,710
GreedyAgent,-258,78.31168174743652,808
GreedyAgent,427,22.694826126098633,123
GreedyAgent,-779,130.04779815673828,1329
GreedyAgent,254,38.04159164428711,296
GreedyAgent,436,24.385929107666016,114
GreedyAgent,506,17.430543899536133,44
GreedyAgent,-966,139.50037956237793,1516
GreedyAgent,-54,63.349246978759766,604
GreedyAgent,53,67.86394119262695,497
GreedyAgent,-269,82.51953125,819
GreedyAgent,-268,80.25860786437988,818
GreedyAgent,-384,101.47976875305176,934
GreedyAgent,196,46.03171348571777,354
GreedyAgent,157,55.10759353637695,393
GreedyAgent,473,26.472806930541992,77
GreedyAgent,69,53.568124771118164,481
GreedyAgent,267,36.246538162231445,283
GreedyAgent,167,48.62689971923828,383
GreedyAgent,-335,86.06672286987305,885
GreedyAgent,-602,101.91535949707031,1152
GreedyAgent,-208,76.68542861938477,758
GreedyAgent,-251,82.81111717224121,801
GreedyAgent,-647,120.64433097839355,1197
GreedyAgent,-3401,315.7050609588623,3951
GreedyAgent,-136,63.939571380615234,686
GreedyAgent,-159,68.02487373352051,709
GreedyAgent,-55,69.13614273071289,605
GreedyAgent,-1598,176.4538288116455,2148
GreedyAgent,292,39.83926773071289,258
GreedyAgent,136,48.97642135620117,414
GreedyAgent,-356,88.56320381164551,906
GreedyAgent,94,50.16946792602539,456
GreedyAgent,-529,99.79081153869629,1079
GreedyAgent,-205,79.12588119506836,755
GreedyAgent,249,45.49384117126465,301
GreedyAgent,-1397,169.30341720581055,1947
GreedyAgent,-663,113.56377601623535,1213
GreedyAgent,-312,98.8316535949707,862
GreedyAgent,219,35.94541549682617,331
GreedyAgent,336,28.574705123901367,214
GreedyAgent,387,25.21347999572754,163
GreedyAgent,62,47.05977439880371,488
GreedyAgent,-198,77.16107368469238,748
GreedyAgent,387,23.472070693969727,163
GreedyAgent,273,34.13748741149902,277
GreedyAgent,486,17.374515533447266,64
GreedyAgent,-865,144.62614059448242,1415
GreedyAgent,431,22.91727066040039,119
GreedyAgent,380,28.224945068359375,170
GreedyAgent,296,33.37383270263672,254
GreedyAgent,385,26.406526565551758,165
GreedyAgent,432,22.265911102294922,118
GreedyAgent,251,55.602312088012695,299
GreedyAgent,521,18.138647079467773,29
GreedyAgent,262,45.36890983581543,288
GreedyAgent,422,26.628494262695312,128
GreedyAgent,233,48.75922203063965,317
GreedyAgent,-7,58.41827392578125,557
GreedyAgent,-1719,181.8079948425293,2269
GreedyAgent,-698,109.38835144042969,1248
GreedyAgent,-2625,278.72467041015625,3175
GreedyAgent,435,38.72489929199219,115
GreedyAgent,395,46.33164405822754,155
GreedyAgent,-1555,185.31179428100586,2105
GreedyAgent,-224,75.33597946166992,774
GreedyAgent,-306,82.26847648620605,856
GreedyAgent,-692,123.79193305969238,1242
GreedyAgent,-77,78.25613021850586,627
GreedyAgent,-76,60.486793518066406,626
GreedyAgent,156,43.90096664428711,394
GreedyAgent,320,30.080080032348633,230
GreedyAgent,121,45.62807083129883,429
GreedyAgent,-899,144.4993019104004,1449
GreedyAgent,-699,119.84491348266602,1249
GreedyAgent,-1112,143.74876022338867,1662
GreedyAgent,-161,65.43350219726562,711
GreedyAgent,208,43.03383827209473,342
GreedyAgent,465,22.505760192871094,85
GreedyAgent,439,23.112058639526367,111
GreedyAgent,427,24.25694465637207,123
GreedyAgent,415,24.91474151611328,135
GreedyAgent,484,21.838903427124023,66
GreedyAgent,301,34.903526306152344,249
GreedyAgent,397,30.30681610107422,153
GreedyAgent,327,35.95423698425293,223
DepthSearchAgent,364,44.78025436401367,186
DepthSearchAgent,405,41.20612144470215,145
DepthSearchAgent,398,40.935516357421875,152
DepthSearchAgent,381,47.47772216796875,169
DepthSearchAgent,431,34.91711616516113,119
DepthSearchAgent,382,38.61117362976074,168
DepthSearchAgent,424,38.78450393676758,126
DepthSearchAgent,441,53.78127098083496,109
DepthSearchAgent,267,49.803972244262695,283
DepthSearchAgent,355,57.01160430908203,195
DepthSearchAgent,358,46.56720161437988,192
DepthSearchAgent,402,43.08795928955078,148
DepthSearchAgent,381,78.55486869812012,169
DepthSearchAgent,416,50.54974555969238,134
DepthSearchAgent,395,58.336496353149414,155
DepthSearchAgent,400,51.903486251831055,150
DepthSearchAgent,420,44.40736770629883,130
DepthSearchAgent,433,45.639991760253906,117
DepthSearchAgent,382,34.64627265930176,168
DepthSearchAgent,408,44.62289810180664,142
DepthSearchAgent,426,36.144256591796875,124
DepthSearchAgent,410,53.72929573059082,140
DepthSearchAgent,373,42.23966598510742,177
DepthSearchAgent,364,66.51759147644043,186
DepthSearchAgent,233,49.854278564453125,317
DepthSearchAgent,395,45.172929763793945,155
DepthSearchAgent,428,50.428152084350586,122
DepthSearchAgent,350,59.63706970214844,200
DepthSearchAgent,385,62.99304962158203,165
DepthSearchAgent,447,39.946556091308594,103
DepthSearchAgent,380,58.09378623962402,170
DepthSearchAgent,391,66.55001640319824,159
DepthSearchAgent,448,40.474891662597656,102
DepthSearchAgent,407,40.80796241760254,143
DepthSearchAgent,354,49.17001724243164,196
DepthSearchAgent,308,59.0052604675293,242
DepthSearchAgent,405,33.39886665344238,145
DepthSearchAgent,385,56.67710304260254,165
DepthSearchAgent,387,35.98904609680176,163
DepthSearchAgent,438,40.97557067871094,112
DepthSearchAgent,363,42.882680892944336,187
DepthSearchAgent,411,45.55034637451172,139
DepthSearchAgent,433,35.45212745666504,117
DepthSearchAgent,306,65.63901901245117,244
DepthSearchAgent,440,39.85190391540527,110
DepthSearchAgent,249,63.436269760131836,301
DepthSearchAgent,384,37.66489028930664,166
DepthSearchAgent,373,32.69362449645996,177
DepthSearchAgent,407,44.344186782836914,143
DepthSearchAgent,383,71.11740112304688,167
DepthSearchAgent,449,45.0444221496582,101
DepthSearchAgent,355,42.47856140136719,195
DepthSearchAgent,374,38.01774978637695,176
DepthSearchAgent,368,54.90684509277344,182
DepthSearchAgent,357,44.20208930969238,193
DepthSearchAgent,381,26.45277976989746,169
DepthSearchAgent,392,40.39645195007324,158
DepthSearchAgent,413,46.29969596862793,137
DepthSearchAgent,377,55.475711822509766,173
DepthSearchAgent,447,48.960208892822266,103
DepthSearchAgent,388,35.13193130493164,162
DepthSearchAgent,448,37.822723388671875,102
DepthSearchAgent,425,50.575971603393555,125
DepthSearchAgent,432,44.739723205566406,118
DepthSearchAgent,382,50.68540573120117,168
DepthSearchAgent,390,36.34166717529297,160
DepthSearchAgent,347,50.33516883850098,203
DepthSearchAgent,423,44.73614692687988,127
DepthSearchAgent,358,54.3360710144043,192
DepthSearchAgent,406,46.48423194885254,144
DepthSearchAgent,371,59.00931358337402,179
DepthSearchAgent,372,48.723697662353516,178
DepthSearchAgent,445,34.98482704162598,105
DepthSearchAgent,395,50.583600997924805,155
DepthSearchAgent,384,52.716732025146484,166
DepthSearchAgent,370,60.55307388305664,180
DepthSearchAgent,376,56.36239051818848,174
DepthSearchAgent,416,51.67889595031738,134
DepthSearchAgent,383,50.162315368652344,167
DepthSearchAgent,415,61.15007400512695,135
DepthSearchAgent,439,63.71021270751953,111
DepthSearchAgent,388,44.35300827026367,162
DepthSearchAgent,409,47.29199409484863,141
DepthSearchAgent,305,57.25884437561035,245
DepthSearchAgent,422,36.98539733886719,128
DepthSearchAgent,390,38.64169120788574,160
DepthSearchAgent,363,49.915313720703125,187
DepthSearchAgent,435,47.92666435241699,115
DepthSearchAgent,410,51.3300895690918,140
DepthSearchAgent,424,33.97250175476074,126
DepthSearchAgent,314,39.49093818664551,236
DepthSearchAgent,418,43.36404800415039,132
DepthSearchAgent,409,49.40152168273926,141
DepthSearchAgent,393,41.75162315368652,157
DepthSearchAgent,375,60.420989990234375,175
DepthSearchAgent,375,61.658620834350586,175
DepthSearchAgent,454,42.376041412353516,96
DepthSearchAgent,341,48.985958099365234,209
DepthSearchAgent,365,64.48626518249512,185
DepthSearchAgent,455,33.29586982727051,95
BreadthSearchAgent,520,30.051708221435547,30
BreadthSearchAgent,526,25.78425407409668,24
BreadthSearchAgent,523,34.45768356323242,27
BreadthSearchAgent,525,24.63841438293457,25
BreadthSearchAgent,536,28.702974319458008,14
BreadthSearchAgent,526,24.439573287963867,24
BreadthSearchAgent,529,20.92146873474121,21
BreadthSearchAgent,530,25.91872215270996,20
BreadthSearchAgent,526,31.44526481628418,24
BreadthSearchAgent,525,25.155305862426758,25
BreadthSearchAgent,532,27.16231346130371,18
BreadthSearchAgent,525,25.52318572998047,25
BreadthSearchAgent,527,26.029109954833984,23
BreadthSearchAgent,526,23.937463760375977,24
BreadthSearchAgent,524,23.29397201538086,26
BreadthSearchAgent,534,21.375656127929688,16
BreadthSearchAgent,529,22.284984588623047,21
BreadthSearchAgent,531,22.8731632232666,19
BreadthSearchAgent,534,22.301197052001953,16
BreadthSearchAgent,527,29.842376708984375,23
BreadthSearchAgent,528,29.717683792114258,22
BreadthSearchAgent,523,25.747299194335938,27
BreadthSearchAgent,525,26.44968032836914,25
BreadthSearchAgent,519,26.506423950195312,31
BreadthSearchAgent,530,23.548126220703125,20
BreadthSearchAgent,532,21.09980583190918,18
BreadthSearchAgent,530,19.340038299560547,20
BreadthSearchAgent,527,22.25327491760254,23
BreadthSearchAgent,525,27.04763412475586,25
BreadthSearchAgent,527,24.489164352416992,23
BreadthSearchAgent,526,28.661489486694336,24
BreadthSearchAgent,527,26.39484405517578,23
BreadthSearchAgent,530,21.604537963867188,20
BreadthSearchAgent,531,23.748159408569336,19
BreadthSearchAgent,532,20.862340927124023,18
BreadthSearchAgent,532,18.883705139160156,18
BreadthSearchAgent,531,25.92921257019043,19
BreadthSearchAgent,531,23.35333824157715,19
